,Date,Location,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
66,2019-03-06,Adilabad,24.166666666666668,30.05555555555556,27.11111111111111,53.5,40.92,83.7,1.1,,50.0,,0.0,0.0,,6.2,0.0,1009.7,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
67,2019-03-07,Adilabad,24.166666666666668,32.666666666666664,28.38888888888889,51.8,37.09,87.4,2.2,,230.0,,0.0,0.0,,4.3,0.0,1009.5,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
68,2019-03-08,Adilabad,23.83333333333334,35.05555555555556,29.444444444444446,50.9,36.93,91.0,2.2,,185.0,,0.0,0.0,,6.2,0.0,1011.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
69,2019-03-09,Adilabad,28.05555555555556,34.333333333333336,31.222222222222225,52.2,30.05,91.0,2.2,,140.0,,0.0,0.0,,6.2,0.0,1010.4,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
70,2019-03-10,Adilabad,26.05555555555556,36.333333333333336,31.222222222222225,53.4,31.74,95.6,2.2,,185.0,,0.0,0.0,,6.2,15.0,1011.2,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
71,2019-03-11,Adilabad,29.66666666666667,35.833333333333336,32.72222222222223,57.2,33.83,94.2,2.2,,185.0,,0.0,0.0,,6.2,0.0,1010.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
72,2019-03-12,Adilabad,28.166666666666668,36.833333333333336,32.5,62.0,40.37,99.2,2.2,,95.0,,0.0,0.0,,6.2,20.0,1011.4,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
73,2019-03-13,Adilabad,28.166666666666668,36.583333333333336,32.388888888888886,59.0,38.275,96.55,2.2,,95.0,,0.0,0.0,,6.2,30.0,1011.2,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,
74,2019-03-14,Adilabad,28.166666666666668,36.333333333333336,32.27777777777778,56.0,36.18,93.9,2.2,,95.0,,0.0,0.0,,6.2,40.0,1011.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
75,2019-03-15,Adilabad,26.83333333333333,36.05555555555556,31.444444444444443,55.3,33.58,95.3,2.2,,50.0,,0.0,0.0,,6.2,20.0,1012.1,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
76,2019-03-16,Adilabad,27.83333333333333,36.833333333333336,32.333333333333336,51.1,27.79,95.1,2.2,,50.0,,0.0,0.0,,6.2,0.0,1011.4,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
77,2019-03-17,Adilabad,27.83333333333333,36.333333333333336,32.111111111111114,57.9,36.56,95.6,3.4,,185.0,,0.0,0.0,,6.2,0.0,1010.3,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
78,2019-03-18,Adilabad,29.66666666666667,33.833333333333336,31.72222222222222,54.4,31.59,90.1,3.4,,230.0,,0.0,0.0,,6.2,20.0,1010.3,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
79,2019-03-19,Adilabad,27.83333333333333,36.833333333333336,32.333333333333336,65.2,46.5,100.1,2.2,,95.0,,0.0,0.0,,6.2,0.0,1007.8,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
80,2019-03-20,Adilabad,28.83333333333334,35.833333333333336,32.333333333333336,70.9,53.8,106.2,5.8,,140.0,,0.0,0.0,,6.2,20.0,1008.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
81,2019-03-21,Adilabad,28.05555555555556,34.833333333333336,31.444444444444443,69.5,54.76,100.3,5.8,,140.0,,0.0,0.0,,6.2,20.0,1010.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
