Location_ID,Date,AQI,NO2,SO2,PM2.5,PM10
1,2021-11-18,86,18.2191666666667,9.63,28.6804166666667,37.4279166666667
2,2021-11-18,118,4.68125,1.41541666666667,42.4529166666667,45.7625
3,2021-11-18,72,6.5175,3.27791666666667,22.1966666666667,27.7516666666667
4,2021-11-18,73,10.0383333333333,1.80416666666667,22.9745833333333,30.77125
0,2021-11-19,182,7.0625,5.48416666666667,115.755833333333,120.43625
1,2021-11-19,102,9.4325,3.06958333333333,36.19375,43.2329166666667
2,2021-11-19,141,3.78541666666667,2.50333333333333,51.95125,54.2370833333333
3,2021-11-19,150,7.4175,7.51,56.2095833333333,63.8779166666667
4,2021-11-19,102,7.39333333333333,1.12333333333333,36.08,40.5808333333333
0,2021-11-20,120,8.87541666666667,4.8,43.3466666666667,44.9016666666667
1,2021-11-20,57,5.14958333333333,1.63041666666667,15.2966666666667,17.20375
2,2021-11-20,46,6.73375,3.65791666666667,11.10875,11.9995833333333
3,2021-11-20,53,3.31833333333333,1.56625,13.2858333333333,14.67625
4,2021-11-20,51,6.02541666666667,1.88666666666667,12.5570833333333,14.0254166666667
0,2021-11-21,53,6.845,4.12,13.505,14.92375
1,2021-11-21,34,4.75708333333333,1.97208333333333,8.13041666666667,9.71875
2,2021-11-21,50,4.35791666666667,2.08375,12.2016666666667,13.525
3,2021-11-21,27,3.64041666666667,1.45708333333333,5.57875,7.00625
4,2021-11-21,39,5.6425,2.52666666666667,9.3775,10.8929166666667
0,2021-11-22,82,22.41,5.69208333333333,27.0658333333333,31.4504166666667
1,2021-11-22,66,9.82458333333333,5.23333333333333,19.5475,24.12875
2,2021-11-22,57,4.60541666666667,1.30416666666667,15.3445833333333,17.70375
3,2021-11-22,51,4.37333333333333,1.42416666666667,12.3720833333333,16.7625
4,2021-11-22,66,9.61583333333333,3.13333333333333,19.37875,23.7683333333333
0,2021-11-23,148,11.9004166666667,7.39541666666667,54.78875,58.5595833333333
1,2021-11-23,160,19.4379166666667,13.03375,74.7095833333333,84.5104166666667
2,2021-11-23,138,9.515,5.16625,50.7591666666667,55.2479166666667
3,2021-11-23,129,5.87208333333333,4.57208333333333,46.9991666666667,53.2733333333333
4,2021-11-23,141,10.0529166666667,3.69833333333333,51.6295833333333,57.5375
0,2021-11-24,228,17.1166666666667,18.49,178.450833333333,186.782916666667
1,2021-11-24,189,17.0195833333333,16.2654166666667,128.980416666667,137.555416666667
2,2021-11-24,107,3.96875,1.21125,38.3758333333333,40.7225
3,2021-11-24,161,5.70666666666667,3.27666666666667,76.1270833333333,84.5479166666667
4,2021-11-24,143,12.6925,2.6275,52.4445833333333,61.2758333333333
0,2021-11-25,184,10.625,13.1479166666667,120.210833333333,126.696666666667
1,2021-11-25,169,18.2341666666667,16.6895833333333,91.6395833333333,102.546666666667
2,2021-11-25,155,5.22791666666667,2.69791666666667,64.59,68.6066666666667
3,2021-11-25,172,8.09041666666667,6.01333333333333,96.9058333333333,107.415
4,2021-11-25,163,9.725,3.2425,80.5170833333333,86.95375
0,2021-11-26,184,13.1745833333333,23.335,119.751666666667,128.94
1,2021-11-26,173,20.5695833333333,11.86375,99.7954166666667,112.267083333333
2,2021-11-26,165,6.17416666666667,2.67166666666667,83.6420833333333,90.00375
3,2021-11-26,171,10.5404166666667,7.02625,96.1325,110.2
4,2021-11-26,169,10.865,3.97,91.38875,99.9275
0,2021-11-27,178,8.44833333333333,15.25625,108.926666666667,116.638333333333
1,2021-11-27,174,19.9258333333333,7.25833333333333,100.355416666667,112.6475
2,2021-11-27,167,4.84416666666667,2.015,87.7383333333333,93.2495833333334
3,2021-11-27,170,7.43416666666667,6.80625,94.1779166666667,105.48
4,2021-11-27,169,10.3329166666667,2.98958333333333,91.5079166666667,100.318333333333
0,2021-11-28,183,8.28875,13.1929166666667,118.435416666667,126.377916666667
1,2021-11-28,183,10.4629166666667,9.75333333333333,117.5625,126.129166666667
2,2021-11-28,174,2.60041666666667,2.19916666666667,100.590416666667,105.1675
3,2021-11-28,178,5.2375,3.75375,108.311666666667,117.756666666667
4,2021-11-28,174,10.3525,2.32166666666667,101.609166666667,110.740833333333
0,2021-11-29,180,8.41458333333333,14.6770833333333,111.64625,119.575416666667
1,2021-11-29,196,14.75875,9.50916666666667,143.512083333333,154.024166666667
2,2021-11-29,191,3.59291666666667,3.73625,134.19875,137.12625
3,2021-11-29,188,4.15625,3.99541666666667,126.84375,134.729583333333
4,2021-11-29,178,14.19125,5.09375,108.8425,116.810416666667
0,2021-12-01,194,15.88,13.9979166666667,139.45875,148.112083333333
1,2021-12-01,221,21.33625,12.63,171.615833333333,185.409166666667
2,2021-12-01,175,7.74416666666667,4.0725,103.185,111.735416666667
3,2021-12-01,183,10.7845833333333,7.85833333333333,118.26,132.27875
4,2021-12-01,205,17.49375,5.16416666666667,155.805416666667,169.792916666667
0,2021-12-02,171,10.2345833333333,10.6991666666667,94.4741666666667,101.916666666667
